"No.","Time","Source","Destination","Protocol","Length","Info"
"130","49.031093","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"131","49.037307","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"132","49.132792","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"133","49.145873","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"134","49.234505","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"135","49.239853","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"136","49.336023","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"137","49.339450","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"138","49.436806","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"139","49.503809","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"140","49.537811","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"141","49.639379","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"142","49.640429","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"143","49.712582","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"144","49.742188","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"145","49.768993","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"146","49.843174","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"147","49.864892","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"148","49.944511","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"149","49.968249","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"150","50.045386","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"151","50.069316","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"152","50.146627","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"153","50.169654","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"154","50.248330","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"155","50.273842","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"156","50.349295","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"157","50.369911","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"158","50.450669","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"159","50.479135","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"160","50.551325","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"161","50.572105","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"162","50.653275","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"163","50.677732","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"164","50.755020","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
"165","50.776541","192.168.2.15","192.168.2.10","BACnet-APDU","70","Complex-ACK     readProperty[221] device,17 firmware-revision "
"166","50.856128","192.168.2.10","192.168.2.15","BACnet-APDU","59","Confirmed-REQ   readProperty[221] device,17 firmware-revision "
